INFO  2016-04-23 21:27:43,453 118651ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(100) = 0
INFO  2016-04-24 00:52:05,636 12380834ms IndexModule            CallSite.Target    - Calling /fibo/100
INFO  2016-04-24 00:52:05,640 12380838ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(100) = 0
INFO  2016-04-24 00:52:06,210 12381408ms IndexModule            CallSite.Target    - Calling /fibo/3
INFO  2016-04-24 00:52:06,211 12381409ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(3) = 6
INFO  2016-04-24 01:43:30,846  5556ms IndexModule            CallSite.Target    - Calling /fibo/3
INFO  2016-04-24 01:43:30,869  5579ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(3) = 2
INFO  2016-04-24 01:43:40,091 14801ms IndexModule            CallSite.Target    - Calling /fibo/100
INFO  2016-04-24 01:43:40,092 14802ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(100) = 3314859971
INFO  2016-04-24 01:43:46,058 20768ms IndexModule            CallSite.Target    - Calling /fibo/101
INFO  2016-04-24 01:43:46,058 20768ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(101) = -1
INFO  2016-04-24 01:43:51,890 26600ms IndexModule            CallSite.Target    - Calling /fibo/-10
INFO  2016-04-24 01:43:51,891 26601ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(-10) = -1
INFO  2016-04-24 01:43:55,591 30301ms IndexModule            CallSite.Target    - Calling /fibo/0
INFO  2016-04-24 01:43:55,592 30302ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(0) = -1
INFO  2016-04-24 01:44:01,319 36029ms IndexModule            CallSite.Target    - Calling /fibo/99
INFO  2016-04-24 01:44:01,320 36030ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(99) = 3405478146
INFO  2016-04-24 01:44:08,161 42871ms IndexModule            CallSite.Target    - Calling /fibo/6
INFO  2016-04-24 01:44:08,161 42871ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(6) = 8
INFO  2016-04-24 01:44:15,192 49902ms IndexModule            CallSite.Target    - Calling /fibo/5
INFO  2016-04-24 01:44:15,192 49902ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(5) = 5
INFO  2016-04-24 13:16:23,922 41578633ms IndexModule            CallSite.Target    - Calling /fibo/3
INFO  2016-04-24 13:16:23,925 41578635ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(3) = 2
INFO  2016-04-24 13:16:30,385 41585095ms IndexModule            CallSite.Target    - Calling /fibo/30
INFO  2016-04-24 13:16:30,385 41585096ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(30) = 832040
